"pathway","pval","padj","log2err","ES","NES","size","genes"
"ZFP456_TARGET_GENES",0.811224489795918,0.935186754817201,0.0478299633114229,0.270165677555851,0.77261706095162,72,"Pld3,Alkbh7,Ntan1,Nutf2,Arl4a,Cuedc2,Get4,Rtca,Tomm40,Chac2,R3hcc1,Snx1,Stat6,Ndufa13,Stam,Odad1,2310022A10Rik,Cmtr2,Fah"
"ZFP599_TARGET_GENES",0.807248764415156,0.935186754817201,0.0466015072985992,0.249069663809523,0.790818003217099,208,"Ppp2r1b,Eif4e3,Tom1l2,Ctsd,Strip1,Pttg1ip,Tmem59,Nsrp1,Vdac2,Parp11,Usp28,Taf9b,Zfp207,Sdcbp,Atp6v0c,Zfp36l1,Sbds,Cers2,Pdrg1,Pigv,Hsf4,Psmd8,Fam53b,Fbxo22,Bag4,Atg13,Yipf3,Rab3gap2,Polr1c,Hdgfl2,Tppp3,Higd1a,Hid1,Stat3,Tiprl,Trir,Ogdh,Atxn1l,Mtfr1,Recql5,Mier2,Stat6,Trappc3,Mylpf,Cdkn2aipnl,Auh,Mitd1,Praf2,Nrbp1,Trim6,Uba1,Odad1,Tmppe,Capns1,Fbxl17"
"ZFP661_TARGET_GENES",0.80225988700565,0.935186754817201,0.0725351864394589,-0.235998684572993,-0.782376556101344,542,"Tjp2,Chsy1,Sec24a,Rpl36a,Rpl13a,Cfap54,Sh3bp5,Rab27a,Stag1,Alkbh8,Huwe1,Dnajc13,Rpl37,Ankhd1,Rpl36,Ints1,Smpd4,Cdkn2c,Kctd1,Nipbl,Erbin,Trps1,Tbl1xr1,Akap13,Klf16,Abtb3,Resf1,Pfdn4,Ikzf1,Mis18bp1,Tuba1b,Adamts6,C2cd3,Ppwd1,Rps6kc1,Ccny,Syne1,Cic,Irak2,Got1,Galnt4,Cbll1,Rpl38,Zbtb6,Rbm19,Nasp,Ap1g1,Ccnk,Sptbn1,Tdrd3,Arhgef18,Tia1,Eif4e2,Fbxl2,Zfp568,Hscb,Rasal1,H3f3a,Fbxo7,Gstt2,Rab23,Ino80d,Wdr37,Slc45a4,Acaca,Satb1,Tsc22d2,Vars1,Acin1,Sp1,Ptpre,Chd8,Gtpbp4,Col23a1,Pgk1,Prep,Ccni"
"MIR_504_3P",0.812191103789127,0.935704036623418,0.0463227785794633,0.254956237102864,0.791800396642642,152,"Tmem176b,Tmem51,Tom1l2,Ccdc102a,Jak1,Samhd1,Igsf9b,Wars1,Sumf2,Flot2,Fam53b,Sting1,Cd79b,Tmem229b,Zfp53,Slc20a1,Rab8a,Cops7b,Git1,Smg7,Nampt,Pmm2,Arhgef9,Exd2,Coro7,Zfp395,Arhgap45,Ubqln4,Plpp6,Odad1,Atg4b,Nhlrc1,Cdc14b,Akr1e1,Mpp2,Rasl11b,Rab37,Gsk3b,Lynx1,Slc25a42,Adissp,S1pr2,Prkcg,Foxk1"
"MIR_7232_3P",0.813636363636364,0.936829434238761,0.0611692626746689,-0.275459755353333,-0.731989533361459,38,"Ppp3cb,Ep400,Mink1,Aff4,Oxsr1,Iws1,Camk2b"
"MIR_6411",0.814385150812065,0.937152072280857,0.0621124188949471,-0.258409291113426,-0.737409571712254,59,"Zswim6,Stag2,Zdhhc17,Nmnat2,Armc6,Rhoq,Atp1b3,Hlcs,Tmem245,Bbx,Shprh,Tpp2,Mbnl2,Ttc39a,Camk1d,Tardbp"
"MIR_148A_5P",0.816112084063047,0.937521061531358,0.0488970772260102,0.275629012325908,0.760744833267408,54,"Acp3,Tollip,Hmgcr,Setd6,Dclre1a,Mzt1,Umps,Txn2"
"MIR_148B_5P",0.816112084063047,0.937521061531358,0.0488970772260102,0.275132713311418,0.759375032215469,54,"Acp3,Tollip,Hmgcr,Setd6,Dclre1a,Mzt1,Umps,Txn2"
"MIR_669O_5P",0.815652173913043,0.937521061531358,0.0486034247259069,0.287890723545518,0.743321395521324,30,"Zbtb41,Sgk1,Gstt1,Bag4,Aar2,Wtap,Morc3"
"MIR_3074_5P",0.816901408450704,0.937889102698857,0.0625237414724762,-0.257178758978251,-0.766507545791976,88,"Sp4,Il7r,Agfg1,Pdcl,Cntrl,Swap70,Mob4,Star,Larp4,Klhl20,Itfg2,R3hdm1,Pptc7,Mycbp2,Tnrc6b,Tmem167,Pip4k2a,Phip"
